M,RC Mean Loss,RC Mean Acc,RC Mean ROC AUC,RC Std Loss,RC Std Acc,RC Std ROC AUC,OC Loss,OC Acc,OC ROC AUC
16,0.4707029799620311,0.8619140625,0.9356759991806847,0.008069647593460464,0.013435795451865174,0.008757287731458955,0.4696927011013031,0.8609375,0.9383316690990091
32,0.4707029799620311,0.8619140625,0.9356759991806847,0.008069647593460464,0.013435795451865174,0.008757287731458955,0.472956919670105,0.855078125,0.9326054228435364
64,0.4707029799620311,0.8619140625,0.9356759991806847,0.008069647593460464,0.013435795451865174,0.008757287731458955,0.46631783843040464,0.8685546875,0.9397979875566479
128,0.4707029799620311,0.8619140625,0.9356759991806847,0.008069647593460464,0.013435795451865174,0.008757287731458955,0.4729656517505646,0.854296875,0.9270727398417697
256,0.4707029799620311,0.8619140625,0.9356759991806847,0.008069647593460464,0.013435795451865174,0.008757287731458955,0.46912598609924316,0.86640625,0.9378965358322452
512,0.4707029799620311,0.8619140625,0.9356759991806847,0.008069647593460464,0.013435795451865174,0.008757287731458955,0.46954736709594724,0.8599609375,0.9370934787618097
1024,0.4707029799620311,0.8619140625,0.9356759991806847,0.008069647593460464,0.013435795451865174,0.008757287731458955,0.4638987898826599,0.864453125,0.9396912205238499
2048,0.4707029799620311,0.8619140625,0.9356759991806847,0.008069647593460464,0.013435795451865174,0.008757287731458955,0.4653643429279327,0.8693359375,0.9369621322682233
4096,0.4707029799620311,0.8619140625,0.9356759991806847,0.008069647593460464,0.013435795451865174,0.008757287731458955,0.465218585729599,0.8533203125,0.932771334203856
8192,0.4707029799620311,0.8619140625,0.9356759991806847,0.008069647593460464,0.013435795451865174,0.008757287731458955,0.45614216327667234,0.86640625,0.9368699592902681
9216,0.4707029799620311,0.8619140625,0.9356759991806847,0.008069647593460464,0.013435795451865174,0.008757287731458955,0.4544102787971497,0.8744140625,0.9413372762885015
