,seed,M,RC Mean Loss,RC Mean Acc,RC Mean ROC AUC,RC Std Loss,RC Std Acc,RC Std ROC AUC,OC Loss,OC Acc,OC ROC AUC
0,1825,16,0.6702691316604614,0.5880533854166666,0.6230603451033992,0.007009655151057648,0.016060585656652037,0.02256486672882944,0.66538405418396,0.6220703125,0.6484337506670813
1,1825,32,0.6702691316604614,0.5880533854166666,0.6230603451033992,0.007009655151057648,0.016060585656652037,0.02256486672882944,0.6779640913009644,0.595703125,0.633264609560667
2,1825,64,0.6702691316604614,0.5880533854166666,0.6230603451033992,0.007009655151057648,0.016060585656652037,0.02256486672882944,0.6679400205612183,0.6083984375,0.6399123867881428
3,1825,128,0.6702691316604614,0.5880533854166666,0.6230603451033992,0.007009655151057648,0.016060585656652037,0.02256486672882944,0.665136992931366,0.6044921875,0.6460418562329391
4,1825,256,0.6702691316604614,0.5880533854166666,0.6230603451033992,0.007009655151057648,0.016060585656652037,0.02256486672882944,0.6679633259773254,0.6123046875,0.6381328634009438
5,1825,512,0.6702691316604614,0.5880533854166666,0.6230603451033992,0.007009655151057648,0.016060585656652037,0.02256486672882944,0.6614430546760559,0.6162109375,0.6393652841286479
6,1825,1024,0.6702691316604614,0.5880533854166666,0.6230603451033992,0.007009655151057648,0.016060585656652037,0.02256486672882944,0.6616238355636597,0.6298828125,0.6408280638708761
7,1825,2048,0.6702691316604614,0.5880533854166666,0.6230603451033992,0.007009655151057648,0.016060585656652037,0.02256486672882944,0.658949077129364,0.62109375,0.6435731754606221
8,1825,4096,0.6702691316604614,0.5880533854166666,0.6230603451033992,0.007009655151057648,0.016060585656652037,0.02256486672882944,0.6485100984573364,0.609375,0.6655532647631333
9,1825,8192,0.6702691316604614,0.5880533854166666,0.6230603451033992,0.007009655151057648,0.016060585656652037,0.02256486672882944,0.64617520570755,0.6357421875,0.6691276688051662
10,1825,9216,0.6702691316604614,0.5880533854166666,0.6230603451033992,0.007009655151057648,0.016060585656652037,0.02256486672882944,0.6363440752029419,0.658203125,0.6904320383317402
0,410,16,0.6659548580646515,0.6092122395833334,0.6404921236413617,0.006091520955530544,0.019607733277405785,0.0258587316638742,0.6645037531852722,0.59765625,0.637096247835585
1,410,32,0.6659548580646515,0.6092122395833334,0.6404921236413617,0.006091520955530544,0.019607733277405785,0.0258587316638742,0.6740668416023254,0.609375,0.6287802874112638
2,410,64,0.6659548580646515,0.6092122395833334,0.6404921236413617,0.006091520955530544,0.019607733277405785,0.0258587316638742,0.6698998808860779,0.6162109375,0.6388201011276073
3,410,128,0.6659548580646515,0.6092122395833334,0.6404921236413617,0.006091520955530544,0.019607733277405785,0.0258587316638742,0.6669973731040955,0.6103515625,0.6547014355205922
4,410,256,0.6659548580646515,0.6092122395833334,0.6404921236413617,0.006091520955530544,0.019607733277405785,0.0258587316638742,0.6632985472679138,0.623046875,0.6446097910259807
5,410,512,0.6659548580646515,0.6092122395833334,0.6404921236413617,0.006091520955530544,0.019607733277405785,0.0258587316638742,0.6630247235298157,0.619140625,0.6511404690877399
