,seed,M,RC Mean Loss,RC Mean Acc,RC Std Loss,RC Std Acc,OC Loss,OC Acc
0,1825,16,0.6592097381750742,0.6119791666666666,0.0033128957847937943,0.009629036105305364,0.6575159430503845,0.6162109375
1,1825,32,0.6592097381750742,0.6119791666666666,0.0033128957847937943,0.009629036105305364,0.661945641040802,0.5986328125
2,1825,64,0.6592097381750742,0.6119791666666666,0.0033128957847937943,0.009629036105305364,0.6552389860153198,0.6171875
3,1825,128,0.6592097381750742,0.6119791666666666,0.0033128957847937943,0.009629036105305364,0.6646147966384888,0.630859375
4,1825,256,0.6592097381750742,0.6119791666666666,0.0033128957847937943,0.009629036105305364,0.6579642295837402,0.62890625
5,1825,512,0.6592097381750742,0.6119791666666666,0.0033128957847937943,0.009629036105305364,0.6626168489456177,0.5947265625
6,1825,1024,0.6592097381750742,0.6119791666666666,0.0033128957847937943,0.009629036105305364,0.6559596061706543,0.623046875
7,1825,2048,0.6592097381750742,0.6119791666666666,0.0033128957847937943,0.009629036105305364,0.6542794704437256,0.6142578125
8,1825,4096,0.6592097381750742,0.6119791666666666,0.0033128957847937943,0.009629036105305364,0.646963894367218,0.6474609375
9,1825,8192,0.6592097381750742,0.6119791666666666,0.0033128957847937943,0.009629036105305364,0.6524378061294556,0.619140625
10,1825,9216,0.6592097381750742,0.6119791666666666,0.0033128957847937943,0.009629036105305364,0.6525614261627197,0.6337890625
0,410,16,0.660646657148997,0.6202799479166666,0.006376121062773356,0.01086601024119435,0.6550224423408508,0.63671875
1,410,32,0.660646657148997,0.6202799479166666,0.006376121062773356,0.01086601024119435,0.6664857268333435,0.6064453125
2,410,64,0.660646657148997,0.6202799479166666,0.006376121062773356,0.01086601024119435,0.6602035760879517,0.630859375
3,410,128,0.660646657148997,0.6202799479166666,0.006376121062773356,0.01086601024119435,0.6662701964378357,0.609375
4,410,256,0.660646657148997,0.6202799479166666,0.006376121062773356,0.01086601024119435,0.6543415784835815,0.6337890625
5,410,512,0.660646657148997,0.6202799479166666,0.006376121062773356,0.01086601024119435,0.6529344320297241,0.62890625
6,410,1024,0.660646657148997,0.6202799479166666,0.006376121062773356,0.01086601024119435,0.6600561141967773,0.619140625
7,410,2048,0.660646657148997,0.6202799479166666,0.006376121062773356,0.01086601024119435,0.6530983448028564,0.640625
8,410,4096,0.660646657148997,0.6202799479166666,0.006376121062773356,0.01086601024119435,0.6555745005607605,0.6171875
9,410,8192,0.660646657148997,0.6202799479166666,0.006376121062773356,0.01086601024119435,0.653913140296936,0.6171875
10,410,9216,0.660646657148997,0.6202799479166666,0.006376121062773356,0.01086601024119435,0.6464928984642029,0.6484375
0,4507,16,0.661302795012792,0.61669921875,0.005239936447377922,0.008204481224693073,0.6718644499778748,0.587890625
1,4507,32,0.661302795012792,0.61669921875,0.005239936447377922,0.008204481224693073,0.6707908511161804,0.615234375
2,4507,64,0.661302795012792,0.61669921875,0.005239936447377922,0.008204481224693073,0.6631832718849182,0.6083984375
3,4507,128,0.661302795012792,0.61669921875,0.005239936447377922,0.008204481224693073,0.6665776371955872,0.6064453125
4,4507,256,0.661302795012792,0.61669921875,0.005239936447377922,0.008204481224693073,0.6569541096687317,0.623046875
5,4507,512,0.661302795012792,0.61669921875,0.005239936447377922,0.008204481224693073,0.6717009544372559,0.6298828125
6,4507,1024,0.661302795012792,0.61669921875,0.005239936447377922,0.008204481224693073,0.6629602909088135,0.61328125
7,4507,2048,0.661302795012792,0.61669921875,0.005239936447377922,0.008204481224693073,0.6597930788993835,0.62109375
8,4507,4096,0.661302795012792,0.61669921875,0.005239936447377922,0.008204481224693073,0.6552442312240601,0.61328125
9,4507,8192,0.661302795012792,0.61669921875,0.005239936447377922,0.008204481224693073,0.651176393032074,0.615234375
10,4507,9216,0.661302795012792,0.61669921875,0.005239936447377922,0.008204481224693073,0.6487742066383362,0.62890625
0,4013,16,0.6579721868038177,0.6183268229166666,0.0057045984198390125,0.010938904687204785,0.6533218026161194,0.6298828125
1,4013,32,0.6579721868038177,0.6183268229166666,0.0057045984198390125,0.010938904687204785,0.657311201095581,0.6259765625
2,4013,64,0.6579721868038177,0.6183268229166666,0.0057045984198390125,0.010938904687204785,0.6615705490112305,0.6123046875
3,4013,128,0.6579721868038177,0.6183268229166666,0.0057045984198390125,0.010938904687204785,0.6490234732627869,0.6416015625
4,4013,256,0.6579721868038177,0.6183268229166666,0.0057045984198390125,0.010938904687204785,0.6596764922142029,0.63671875
5,4013,512,0.6579721868038177,0.6183268229166666,0.0057045984198390125,0.010938904687204785,0.6488983035087585,0.640625
6,4013,1024,0.6579721868038177,0.6183268229166666,0.0057045984198390125,0.010938904687204785,0.6613175868988037,0.623046875
7,4013,2048,0.6579721868038177,0.6183268229166666,0.0057045984198390125,0.010938904687204785,0.6577990055084229,0.619140625
8,4013,4096,0.6579721868038177,0.6183268229166666,0.0057045984198390125,0.010938904687204785,0.6499383449554443,0.623046875
9,4013,8192,0.6579721868038177,0.6183268229166666,0.0057045984198390125,0.010938904687204785,0.6450920104980469,0.630859375
10,4013,9216,0.6579721868038177,0.6183268229166666,0.0057045984198390125,0.010938904687204785,0.643727719783783,0.6376953125
0,3658,16,0.6560713350772858,0.6197916666666666,0.0059662157650239,0.014977496185322058,0.6570932269096375,0.6259765625
1,3658,32,0.6560713350772858,0.6197916666666666,0.0059662157650239,0.014977496185322058,0.6542067527770996,0.62890625
2,3658,64,0.6560713350772858,0.6197916666666666,0.0059662157650239,0.014977496185322058,0.6564260125160217,0.6162109375
3,3658,128,0.6560713350772858,0.6197916666666666,0.0059662157650239,0.014977496185322058,0.6589927673339844,0.62109375
4,3658,256,0.6560713350772858,0.6197916666666666,0.0059662157650239,0.014977496185322058,0.6554082632064819,0.6298828125
5,3658,512,0.6560713350772858,0.6197916666666666,0.0059662157650239,0.014977496185322058,0.6624020934104919,0.607421875
6,3658,1024,0.6560713350772858,0.6197916666666666,0.0059662157650239,0.014977496185322058,0.6517211198806763,0.6376953125
7,3658,2048,0.6560713350772858,0.6197916666666666,0.0059662157650239,0.014977496185322058,0.6575433611869812,0.6181640625
8,3658,4096,0.6560713350772858,0.6197916666666666,0.0059662157650239,0.014977496185322058,0.6518102288246155,0.6171875
9,3658,8192,0.6560713350772858,0.6197916666666666,0.0059662157650239,0.014977496185322058,0.6431785225868225,0.6396484375
10,3658,9216,0.6560713350772858,0.6197916666666666,0.0059662157650239,0.014977496185322058,0.6458967924118042,0.6240234375
