,seed,M,RC Mean Loss,RC Mean Acc,RC Mean ROC AUC,RC Std Loss,RC Std Acc,RC Std ROC AUC,OC Loss,OC Acc,OC ROC AUC
0,1825,16,0.487455556790034,0.83935546875,0.9187357579947258,0.008556721383967994,0.01676116222227269,0.014157380851143682,0.48081666231155396,0.8505859375,0.9249750364851371
1,1825,32,0.487455556790034,0.83935546875,0.9187357579947258,0.008556721383967994,0.01676116222227269,0.014157380851143682,0.48415088653564453,0.8310546875,0.9211344957369998
2,1825,64,0.487455556790034,0.83935546875,0.9187357579947258,0.008556721383967994,0.01676116222227269,0.014157380851143682,0.4772091507911682,0.849609375,0.9271833474153159
3,1825,128,0.487455556790034,0.83935546875,0.9187357579947258,0.008556721383967994,0.01676116222227269,0.014157380851143682,0.4800330400466919,0.837890625,0.9226246255472771
4,1825,256,0.487455556790034,0.83935546875,0.9187357579947258,0.008556721383967994,0.01676116222227269,0.014157380851143682,0.47759318351745605,0.84375,0.9259466932944158
5,1825,512,0.487455556790034,0.83935546875,0.9187357579947258,0.008556721383967994,0.01676116222227269,0.014157380851143682,0.4693598449230194,0.8583984375,0.9326138720331822
6,1825,1024,0.487455556790034,0.83935546875,0.9187357579947258,0.008556721383967994,0.01676116222227269,0.014157380851143682,0.47603851556777954,0.8505859375,0.9273408095859897
7,1825,2048,0.487455556790034,0.83935546875,0.9187357579947258,0.008556721383967994,0.01676116222227269,0.014157380851143682,0.48382607102394104,0.849609375,0.914321376449804
8,1825,4096,0.487455556790034,0.83935546875,0.9187357579947258,0.008556721383967994,0.01676116222227269,0.014157380851143682,0.4781109690666199,0.841796875,0.9214378984561027
9,1825,8192,0.487455556790034,0.83935546875,0.9187357579947258,0.008556721383967994,0.01676116222227269,0.014157380851143682,0.470308393239975,0.85546875,0.9234695445118674
10,1825,9216,0.487455556790034,0.83935546875,0.9187357579947258,0.008556721383967994,0.01676116222227269,0.014157380851143682,0.4701259136199951,0.8564453125,0.91890698210308
0,410,16,0.4645833869775136,0.8704427083333334,0.9429410861049234,0.007613423244178418,0.01409170626426651,0.009723767325150649,0.45853278040885925,0.876953125,0.9517320838774099
1,410,32,0.4645833869775136,0.8704427083333334,0.9429410861049234,0.007613423244178418,0.01409170626426651,0.009723767325150649,0.45838430523872375,0.8701171875,0.9458330132882709
2,410,64,0.4645833869775136,0.8704427083333334,0.9429410861049234,0.007613423244178418,0.01409170626426651,0.009723767325150649,0.442486435174942,0.89453125,0.956740149012981
3,410,128,0.4645833869775136,0.8704427083333334,0.9429410861049234,0.007613423244178418,0.01409170626426651,0.009723767325150649,0.4703235328197479,0.8662109375,0.9362201397956832
4,410,256,0.4645833869775136,0.8704427083333334,0.9429410861049234,0.007613423244178418,0.01409170626426651,0.009723767325150649,0.4747947156429291,0.8583984375,0.9348605883708426
5,410,512,0.4645833869775136,0.8704427083333334,0.9429410861049234,0.007613423244178418,0.01409170626426651,0.009723767325150649,0.48025408387184143,0.8427734375,0.9342307396881482
6,410,1024,0.4645833869775136,0.8704427083333334,0.9429410861049234,0.007613423244178418,0.01409170626426651,0.009723767325150649,0.465155690908432,0.8662109375,0.9454067132652277
7,410,2048,0.4645833869775136,0.8704427083333334,0.9429410861049234,0.007613423244178418,0.01409170626426651,0.009723767325150649,0.4566977322101593,0.873046875,0.9465819187341576
8,410,4096,0.4645833869775136,0.8704427083333334,0.9429410861049234,0.007613423244178418,0.01409170626426651,0.009723767325150649,0.4725683033466339,0.841796875,0.9263269068284815
9,410,8192,0.4645833869775136,0.8704427083333334,0.9429410861049234,0.007613423244178418,0.01409170626426651,0.009723767325150649,0.46336281299591064,0.8515625,0.9322067747138797
10,410,9216,0.4645833869775136,0.8704427083333334,0.9429410861049234,0.007613423244178418,0.01409170626426651,0.009723767325150649,0.45417550206184387,0.873046875,0.9477648052845842
0,4507,16,0.4721069534619649,0.8597005208333334,0.9294627083493356,0.004609577904099504,0.006734427365096746,0.0022046407204228268,0.4748907685279846,0.8466796875,0.9260734311391045
1,4507,32,0.4721069534619649,0.8597005208333334,0.9294627083493356,0.004609577904099504,0.006734427365096746,0.0022046407204228268,0.4793468117713928,0.84765625,0.921695214686228
2,4507,64,0.4721069534619649,0.8597005208333334,0.9294627083493356,0.004609577904099504,0.006734427365096746,0.0022046407204228268,0.47126200795173645,0.85546875,0.9265342960288809
