,seed,M,RC Mean Loss,RC Mean Acc,RC Std Loss,RC Std Acc,OC Loss,OC Acc
0,1825,16,0.6702691316604614,0.5880533854166666,0.007009655151057648,0.016060585656652037,0.66538405418396,0.6220703125
1,1825,32,0.6702691316604614,0.5880533854166666,0.007009655151057648,0.016060585656652037,0.6779640913009644,0.595703125
2,1825,64,0.6702691316604614,0.5880533854166666,0.007009655151057648,0.016060585656652037,0.6679400205612183,0.6083984375
3,1825,128,0.6702691316604614,0.5880533854166666,0.007009655151057648,0.016060585656652037,0.665136992931366,0.6044921875
4,1825,256,0.6702691316604614,0.5880533854166666,0.007009655151057648,0.016060585656652037,0.6679633259773254,0.6123046875
5,1825,512,0.6702691316604614,0.5880533854166666,0.007009655151057648,0.016060585656652037,0.6614430546760559,0.6162109375
6,1825,1024,0.6702691316604614,0.5880533854166666,0.007009655151057648,0.016060585656652037,0.6616238355636597,0.6298828125
7,1825,2048,0.6702691316604614,0.5880533854166666,0.007009655151057648,0.016060585656652037,0.658949077129364,0.62109375
8,1825,4096,0.6702691316604614,0.5880533854166666,0.007009655151057648,0.016060585656652037,0.6485100984573364,0.609375
9,1825,8192,0.6702691316604614,0.5880533854166666,0.007009655151057648,0.016060585656652037,0.64617520570755,0.6357421875
10,1825,9216,0.6702691316604614,0.5880533854166666,0.007009655151057648,0.016060585656652037,0.6363440752029419,0.658203125
0,410,16,0.6659548580646515,0.6092122395833334,0.006091520955530544,0.019607733277405785,0.6645037531852722,0.59765625
1,410,32,0.6659548580646515,0.6092122395833334,0.006091520955530544,0.019607733277405785,0.6740668416023254,0.609375
2,410,64,0.6659548580646515,0.6092122395833334,0.006091520955530544,0.019607733277405785,0.6698998808860779,0.6162109375
3,410,128,0.6659548580646515,0.6092122395833334,0.006091520955530544,0.019607733277405785,0.6669973731040955,0.6103515625
4,410,256,0.6659548580646515,0.6092122395833334,0.006091520955530544,0.019607733277405785,0.6632985472679138,0.623046875
5,410,512,0.6659548580646515,0.6092122395833334,0.006091520955530544,0.019607733277405785,0.6630247235298157,0.619140625
6,410,1024,0.6659548580646515,0.6092122395833334,0.006091520955530544,0.019607733277405785,0.6619635820388794,0.6142578125
7,410,2048,0.6659548580646515,0.6092122395833334,0.006091520955530544,0.019607733277405785,0.6583598852157593,0.6201171875
8,410,4096,0.6659548580646515,0.6092122395833334,0.006091520955530544,0.019607733277405785,0.6581198573112488,0.607421875
9,410,8192,0.6659548580646515,0.6092122395833334,0.006091520955530544,0.019607733277405785,0.6587716341018677,0.59765625
10,410,9216,0.6659548580646515,0.6092122395833334,0.006091520955530544,0.019607733277405785,0.6477832794189453,0.6416015625
0,4507,16,0.6685830454031626,0.6212565104166666,0.004137206591735522,0.009063577989795478,0.6746208667755127,0.591796875
1,4507,32,0.6685830454031626,0.6212565104166666,0.004137206591735522,0.009063577989795478,0.6741995215415955,0.6103515625
2,4507,64,0.6685830454031626,0.6212565104166666,0.004137206591735522,0.009063577989795478,0.6607645750045776,0.62890625
3,4507,128,0.6685830454031626,0.6212565104166666,0.004137206591735522,0.009063577989795478,0.6553311347961426,0.6455078125
4,4507,256,0.6685830454031626,0.6212565104166666,0.004137206591735522,0.009063577989795478,0.6532429456710815,0.63671875
5,4507,512,0.6685830454031626,0.6212565104166666,0.004137206591735522,0.009063577989795478,0.643690824508667,0.634765625
6,4507,1024,0.6685830454031626,0.6212565104166666,0.004137206591735522,0.009063577989795478,0.6634331345558167,0.630859375
