M,RC Mean Loss,RC Mean Acc,RC Mean ROC AUC,RC Std Loss,RC Std Acc,RC Std ROC AUC,OC Loss,OC Acc,OC ROC AUC
16,0.6653701027234395,0.6094401041666667,0.649732783543152,0.007393188009602857,0.016506274532255408,0.018263191537247158,0.6642933249473572,0.6138671875,0.6536344893516546
32,0.6653701027234395,0.6094401041666667,0.649732783543152,0.007393188009602857,0.016506274532255408,0.018263191537247158,0.6701391339302063,0.60859375,0.6466784149764073
64,0.6653701027234395,0.6094401041666667,0.649732783543152,0.007393188009602857,0.016506274532255408,0.018263191537247158,0.6662981748580933,0.610546875,0.6471782940379247
128,0.6653701027234395,0.6094401041666667,0.649732783543152,0.007393188009602857,0.016506274532255408,0.018263191537247158,0.6572822690010071,0.6251953125,0.6687644694255999
256,0.6653701027234395,0.6094401041666667,0.649732783543152,0.007393188009602857,0.016506274532255408,0.018263191537247158,0.656581437587738,0.6302734375,0.6668709183262115
512,0.6653701027234395,0.6094401041666667,0.649732783543152,0.007393188009602857,0.016506274532255408,0.018263191537247158,0.6531059503555298,0.6224609375,0.6632596568418547
1024,0.6653701027234395,0.6094401041666667,0.649732783543152,0.007393188009602857,0.016506274532255408,0.018263191537247158,0.657029926776886,0.6283203125,0.6620725400536737
2048,0.6653701027234395,0.6094401041666667,0.649732783543152,0.007393188009602857,0.016506274532255408,0.018263191537247158,0.6516086459159851,0.6244140625,0.6613737843762838
4096,0.6653701027234395,0.6094401041666667,0.649732783543152,0.007393188009602857,0.016506274532255408,0.018263191537247158,0.6452697873115539,0.6220703125,0.6746044543754776
8192,0.6653701027234395,0.6094401041666667,0.649732783543152,0.007393188009602857,0.016506274532255408,0.018263191537247158,0.6411102414131165,0.6326171875,0.6790200527522143
9216,0.6653701027234395,0.6094401041666667,0.649732783543152,0.007393188009602857,0.016506274532255408,0.018263191537247158,0.6402269840240479,0.6447265625,0.6827603152847046
