M,RC Mean Loss,RC Mean Acc,RC Std Loss,RC Std Acc,OC Loss,OC Acc
16,0.6590405424435933,0.6174153645833333,0.005319953495961597,0.010923185688743927,0.6589635729789733,0.6193359375
32,0.6590405424435933,0.6174153645833333,0.005319953495961597,0.010923185688743927,0.6621480345726013,0.6150390625
64,0.6590405424435933,0.6174153645833333,0.005319953495961597,0.010923185688743927,0.6593244791030883,0.6169921875
128,0.6590405424435933,0.6174153645833333,0.005319953495961597,0.010923185688743927,0.6610957741737366,0.621875
256,0.6590405424435933,0.6174153645833333,0.005319953495961597,0.010923185688743927,0.6568689346313477,0.63046875
512,0.6590405424435933,0.6174153645833333,0.005319953495961597,0.010923185688743927,0.6597105264663696,0.6203125
1024,0.6590405424435933,0.6174153645833333,0.005319953495961597,0.010923185688743927,0.658402943611145,0.6232421875
2048,0.6590405424435933,0.6174153645833333,0.005319953495961597,0.010923185688743927,0.656502652168274,0.62265625
4096,0.6590405424435933,0.6174153645833333,0.005319953495961597,0.010923185688743927,0.6519062399864197,0.6236328125
8192,0.6590405424435933,0.6174153645833333,0.005319953495961597,0.010923185688743927,0.649159574508667,0.6244140625
9216,0.6590405424435933,0.6174153645833333,0.005319953495961597,0.010923185688743927,0.6474906086921692,0.6345703125
