M,RC Mean Loss,RC Mean Acc,RC Std Loss,RC Std Acc,OC Loss,OC Acc
16,0.6653701027234395,0.6094401041666667,0.007393188009602857,0.016506274532255408,0.6642933249473572,0.6138671875
32,0.6653701027234395,0.6094401041666667,0.007393188009602857,0.016506274532255408,0.6701391339302063,0.60859375
64,0.6653701027234395,0.6094401041666667,0.007393188009602857,0.016506274532255408,0.6662981748580933,0.610546875
128,0.6653701027234395,0.6094401041666667,0.007393188009602857,0.016506274532255408,0.6572822690010071,0.6251953125
256,0.6653701027234395,0.6094401041666667,0.007393188009602857,0.016506274532255408,0.656581437587738,0.6302734375
512,0.6653701027234395,0.6094401041666667,0.007393188009602857,0.016506274532255408,0.6531059503555298,0.6224609375
1024,0.6653701027234395,0.6094401041666667,0.007393188009602857,0.016506274532255408,0.657029926776886,0.6283203125
2048,0.6653701027234395,0.6094401041666667,0.007393188009602857,0.016506274532255408,0.6516086459159851,0.6244140625
4096,0.6653701027234395,0.6094401041666667,0.007393188009602857,0.016506274532255408,0.6452697873115539,0.6220703125
8192,0.6653701027234395,0.6094401041666667,0.007393188009602857,0.016506274532255408,0.6411102414131165,0.6326171875
9216,0.6653701027234395,0.6094401041666667,0.007393188009602857,0.016506274532255408,0.6402269840240479,0.6447265625
